model,dataset,mse_loss
models/best_regression_model_tanh_norm_trained_on_vehicle.pth,datasets_v4/full_set_tanh_normed_val2017.p,0.039892022
models/best_regression_model_trained_on_tanh_normed_full_set.pth,datasets_v4/accessory_val2017_regression.p,0.034769287
models/best_regression_model_trained_on_tanh_normed_full_set.pth,datasets_v4/animal_val2017_regression.p,0.031608583
models/best_regression_model_trained_on_tanh_normed_full_set.pth,datasets_v4/appliance_val2017_regression.p,0.023855215
models/best_regression_model_trained_on_tanh_normed_full_set.pth,datasets_v4/electronic_val2017_regression.p,0.024631269
models/best_regression_model_trained_on_tanh_normed_full_set.pth,datasets_v4/food_val2017_regression.p,0.029282018
models/best_regression_model_trained_on_tanh_normed_full_set.pth,datasets_v4/furniture_val2017_regression.p,0.027697753
models/best_regression_model_trained_on_tanh_normed_full_set.pth,datasets_v4/indoor_val2017_regression.p,0.028547262
models/best_regression_model_trained_on_tanh_normed_full_set.pth,datasets_v4/kitchen_val2017_regression.p,0.0275418
models/best_regression_model_trained_on_tanh_normed_full_set.pth,datasets_v4/outdoor_val2017_regression.p,0.032383988
models/best_regression_model_trained_on_tanh_normed_full_set.pth,datasets_v4/person_val2017_regression.p,0.030688673
models/best_regression_model_trained_on_tanh_normed_full_set.pth,datasets_v4/sports_val2017_regression.p,0.02992848
models/best_regression_model_trained_on_tanh_normed_full_set.pth,datasets_v4/vehicle_val2017_regression.p,0.101256083
models/best_regression_model_trained_on_tanh_normed_full_set.pth,datasets_v4/vehicle_val2017_regression.p,0.03067411
models/best_regression_model_tanh_norm_trained_on_vehicle_maskn_maskv_maskadj_maskadv.pth,datasets_v4/full_set_maskn_maskv_maskadj_maskadv_val2017_regression.p,0.046087327
models/best_regression_model_tanh_norm_trained_on_vehicle_maskn_maskv_maskadj_maskadv.pth,datasets_v4/accessory_maskn_maskv_maskadj_maskadv_val2017_regression.p,0.048402073
models/best_regression_model_tanh_norm_trained_on_vehicle_maskn_maskv_maskadj_maskadv.pth,datasets_v4/animal_maskn_maskv_maskadj_maskadv_val2017_regression.p,0.046170611
models/best_regression_model_tanh_norm_trained_on_vehicle_maskn_maskv_maskadj_maskadv.pth,datasets_v4/appliance_maskn_maskv_maskadj_maskadv_val2017_regression.p,0.04564151
models/best_regression_model_tanh_norm_trained_on_vehicle_maskn_maskv_maskadj_maskadv.pth,datasets_v4/electronic_maskn_maskv_maskadj_maskadv_val2017_regression.p,0.031593228
models/best_regression_model_tanh_norm_trained_on_vehicle_maskn_maskv_maskadj_maskadv.pth,datasets_v4/food_maskn_maskv_maskadj_maskadv_val2017_regression.p,0.037618426
models/best_regression_model_tanh_norm_trained_on_vehicle_maskn_maskv_maskadj_maskadv.pth,datasets_v4/furniture_maskn_maskv_maskadj_maskadv_val2017_regression.p,0.041850731
models/best_regression_model_tanh_norm_trained_on_vehicle_maskn_maskv_maskadj_maskadv.pth,datasets_v4/indoor_maskn_maskv_maskadj_maskadv_val2017_regression.p,0.037840481
models/best_regression_model_tanh_norm_trained_on_vehicle_maskn_maskv_maskadj_maskadv.pth,datasets_v4/kitchen_maskn_maskv_maskadj_maskadv_val2017_regression.p,0.035702772
models/best_regression_model_tanh_norm_trained_on_vehicle_maskn_maskv_maskadj_maskadv.pth,datasets_v4/outdoor_maskn_maskv_maskadj_maskadv_val2017_regression.p,0.041454999
models/best_regression_model_tanh_norm_trained_on_vehicle_maskn_maskv_maskadj_maskadv.pth,datasets_v4/person_maskn_maskv_maskadj_maskadv_val2017_regression.p,0.046146029
models/best_regression_model_tanh_norm_trained_on_vehicle_maskn_maskv_maskadj_maskadv.pth,datasets_v4/sports_maskn_maskv_maskadj_maskadv_val2017_regression.p,0.055610089
models/best_regression_model_tanh_norm_trained_on_vehicle_maskn_maskv_maskadj_maskadv.pth           ,datasets_v4/vehicle_maskn_maskv_maskadj_maskadv_val2017_regression.p,0.040549393
